"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"11";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0481";"I";"-";"1.828.846";"1.830.801";1.956;406;"1.828.846";"1.830.801";0;0;651;"Glycoside hydrolase, family 76";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 76 protein";1;"F:catalytic activity";"-";"GH76 ";"";"Y";"";"";"";"g0481"
"12";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0530";"I";"+";"2.053.189";"2.054.325";1.137;1.998;"2.053.189";"2.054.325";0;0;378;"Endoglucanase D";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"endoglucanase b";2;"F:chitin binding; C:cellular_component";"";"GH61 ";"";"Y";"";"";"";"g0530"
"13";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0543";"I";"-";"2.102.726";"2.108.439";5.714;633;"2.102.726";"2.108.439";1;59;1.884;"Chitin synthase 8 (Myosin chitin synthase 1)";"Grosmannia clavigera";"Ophiostoma piceae";"K00698";"CHS1; chitin synthase [EC:2.4.1.16]";"glycosyltransferase family 2 protein";5;"C:myosin complex; F:heme binding; F:ATP binding; F:motor activity; F:transferase activity, transferring hexosyl groups";"EC:2.4.1.0";"GT2 ";"";"N";"";"";"";"g0543"
"14";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0544";"I";"+";"2.114.799";"2.120.343";5.545;6.359;"2.114.799";"2.120.343";1;55;1.829;"Chitin synthase 6 (Class-V chitin synthase 6)";"Grosmannia clavigera";"Ophiostoma piceae";"K00698";"CHS1; chitin synthase [EC:2.4.1.16]";"chitin synthase 6";5;"C:myosin complex; F:heme binding; F:ATP binding; F:motor activity; F:transferase activity, transferring hexosyl groups";"EC:2.4.1.0";"GT2";"";"N";"";"";"";"g0544"
"15";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0547";"I";"-";"2.126.040";"2.127.300";1.261;401;"2.126.040";"2.127.300";1;64;398;"1,4-beta-D-glucan cellobiohydrolase C";"Sordaria macrospora";"Ophiostoma piceae";"K01179";"E3.2.1.4; endoglucanase [EC:3.2.1.4]";"exoglucanase 3 precursor";2;"F:cellulose 1,4-beta-cellobiosidase activity; P:cellulose catabolic process";"EC:3.2.1.91";"GH6 ";"";"Y";"";"";"";"g0547"
"16";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0557";"I";"+";"2.164.593";"2.166.936";2.344;3.452;"2.164.593";"2.166.936";3;229;704;"Glycogen (starch) synthase";"Grosmannia clavigera";"Ophiostoma piceae";"K00693";"GYS; glycogen(starch) synthase [EC:2.4.1.11]";"glycogen synthase";3;"P:glycogen biosynthetic process; F:glycogen (starch) synthase activity; C:mitochondrion";"EC:2.4.1.11";"GT3 ";"";"N";"";"";"";"g0557"
"17";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0591";"I";"-";"2.317.035";"2.318.275";1.241;342;"2.317.035";"2.318.275";1;56;394;"Alpha-mannosyltransferase";"Grosmannia clavigera";"Ophiostoma piceae";"K03854";"KTR; mannosyltransferase [EC:2.4.1.-]";"glycosyltransferase family 15 protein";3;"C:membrane; F:mannosyltransferase activity; P:protein glycosylation";"-";"GT15 ";"";"Y";"";"";"";"g0591"
"18";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0615";"I";"+";"2.410.478";"2.412.056";1.579;601;"2.410.478";"2.412.056";3;205;457;"Rhamnogalacturonase B";"Aspergillus fumigatus";"Sporothrix schenckii";"";"";"rhamnogalacturonase b";3;"F:hydrolase activity, acting on glycosyl bonds; F:rhamnogalacturonan alpha-L-rhamnopyranosyl-(1->4)-alpha-D-galactopyranosyluronide lyase activity; P:pectin catabolic process";"-";"GH28 ";"";"Y";"";"";"";"g0615"
"19";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0630";"I";"-";"2.455.027";"2.455.775";749;339;"2.455.027";"2.455.775";1;56;230;"Fungal cellulose binding domain containing protein";"Pyrenophora tritici-repentis";"Ophiostoma piceae";"";"";"glycoside hydrolase family 61 protein";1;"F:hydrolase activity";"";"GH61 ";"";"Y";"";"";"";"g0630"
"20";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0635";"I";"+";"2.464.527";"2.465.398";872;487;"2.464.527";"2.465.398";1;65;268;"GDSL-like Lipase/Acylhydrolase";"Colletotrichum sublineola";"Ophiostoma piceae";"";"";"rhamnogalacturonan acetylesterase";2;"F:rhamnogalacturonan acetylesterase activity; P:pectin catabolic process";"-";"CE12 ";"";"Y";"";"";"";"g0635"
"21";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0647";"I";"+";"2.493.446";"2.494.988";1.543;1.418;"2.493.446";"2.494.988";3;172;456;"Exoglucanase 1 ";"Pestalotiopsis fici";"Ophiostoma piceae";"";"";"glycoside hydrolase family 7 protein";4;"C:extracellular region; F:cellulose binding; F:cellulose 1,4-beta-cellobiosidase activity; P:cellulose catabolic process";"EC:3.2.1.91";"GH7 ";"";"Y";"";"";"";"g0647"
"22";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0704";"I";"-";"2.716.868";"2.720.398";3.531;4.613;"2.716.868";"2.720.398";7;384;1.048;"Beta-galactosidase C (Lactase C)";"Grosmannia clavigera";"Ophiostoma piceae";"K12309";"GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]";"glycosyl hydrolase family 35";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process";"EC:3.2.1.0";"GH35 ";"";"Y";"";"";"";"g0704"
"23";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0737";"I";"+";"2.859.033";"2.861.733";2.701;8.928;"2.859.033";"2.861.733";1;61;879;"Beta-glucosidase F (Cellobiase F/Gentiobiase F)";"Pestalotiopsis fici";"Ophiostoma piceae";"";"";"beta-glucosidase 1";2;"F:hydrolase activity, acting on glycosyl bonds; P:metabolic process";"-";"GH3 ";"";"Y";"";"";"";"g0737"
"24";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0772";"I";"-";"2.979.160";"2.980.365";1.206;247;"2.979.160";"2.980.365";1;699;168;"Putative uncharacterized protein";"Nectria haematococca";"Sporothrix schenckii";"";"";"glycoside hydrolase family 16 protein";4;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; P:xylan catabolic process; F:hydrolase activity";"";"GH16 ";"";"N";"";"";"";"g0772"
"25";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0872";"I";"+";"3.337.389";"3.339.315";1.927;947;"3.337.389";"3.339.315";1;58;622;"Beta-1,2-xylosyltransferase 1 (Cxt1p)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"capsule associated protein";1;"F:transferase activity";"";"GT90 ";"";"N";"";"";"";"g0872"
"26";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0928";"I";"+";"3.549.524";"3.551.941";2.418;1.288;"3.549.524";"3.551.941";0;0;805;"Alpha-L-fucosidase";"Togninia minima";"Ophiostoma piceae";"K01206";"FUCA; alpha-L-fucosidase [EC:3.2.1.51]";"tissue alpha-l-fucosidase";2;"P:carbohydrate metabolic process; F:catalytic activity";"-";"GH29 ";"";"Y";"";"";"";"g0928"
"27";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0970";"I";"+";"3.727.576";"3.730.386";2.811;3.602;"3.727.576";"3.730.386";1;60;916;"Chitin synthase 1 (Class-III chitin synthase 3)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"chitin synthase 1";5;"F:chitin synthase activity; C:plasma membrane; P:chitin biosynthetic process; C:integral to membrane; P:cellular cell wall organization";"EC:2.4.1.16";"GT2 ";"";"N";"";"";"";"g0970"
"28";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0986";"I";"-";"3.802.887";"3.804.542";1.656;3.892;"3.802.887";"3.804.542";2;144;503;"Dolichyl glycosyltransferase";"Grosmannia clavigera";"Ophiostoma piceae";"K03849";"ALG8; alpha-1,3-glucosyltransferase [EC:2.4.1.265]";"glycosyltransferase family 57 protein";4;"C:endoplasmic reticulum membrane; P:oligosaccharide-lipid intermediate biosynthetic process; F:dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; P:protein N-linked glycosylation";"-";"GT57 ";"";"N";"";"";"";"g0986"
"29";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1001";"I";"+";"3.869.122";"3.871.800";2.679;2.831;"3.869.122";"3.871.800";0;0;892;"Glycogen phosphorylase";"Grosmannia clavigera";"Ophiostoma piceae";"K00688";"E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]";"glycogen phosphorylase";4;"C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding";"-";"GT35 ";"";"N";"";"";"";"g1001"
"30";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1022";"I";"-";"3.945.453";"3.945.986";534;525;"3.945.453";"3.945.986";0;0;177;"Expansin family protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"allergen asp f7";0;"-";"";"EXPN ";"";"N";"";"";"";"g1022"
"31";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1050";"I";"+";"4.046.140";"4.048.926";2.787;1.176;"4.046.140";"4.048.926";0;0;928;"Alpha-rhamnosidase Eurofung";"Fusarium oxysporum";"Ophiostoma piceae";"";"";"tpa: alpha-rhamnosidase";1;"F:catalytic activity";"-";"GH78 ";"";"N";"";"";"";"g1050"
"32";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1058";"I";"+";"4.069.851";"4.070.872";1.022;868;"4.069.851";"4.070.872";1;53;322;"Arabinan endo-1,5-alpha-L-arabinosidase";"Grosmannia clavigera";"Ophiostoma piceae";"K06113";"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]";"extracellular endo- -alpha-l-";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:polysaccharide catabolic process";"EC:3.2.1.0";"GH43 ";"";"Y";"";"";"";"g1058"
"33";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1059";"I";"-";"4.072.122";"4.074.215";2.094;1.249;"4.072.122";"4.074.215";0;0;697;"PdmS protein";"Colletotrichum sublineola";"Ophiostoma piceae";"";"";"glycosyltransferase (n-glycosyltransferase) (n-glycosyl transferase ngt)";7;"P:lipid glycosylation; F:transferase activity; P:metabolic process; P:carbohydrate metabolic process; P:antibiotic metabolic process; F:transferase activity, transferring hexosyl groups; F:transferase activity, transferring glycosyl groups";"";"GT1 ";"";"N";"";"";"";"g1059"
"34";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1070";"I";"-";"4.106.284";"4.108.953";2.67;2.428;"4.106.284";"4.108.953";1;120;849;"Protein phosphatase regulatory subunit";"Grosmannia clavigera";"Ophiostoma piceae";"K07189";"PPP1R3; protein phosphatase 1, regulatory (inhibitor) subunit 3";"carbohydrate-binding module family 21 protein";0;"-";"";"CBM21 ";"";"N";"";"";"";"g1070"
"35";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1074";"I";"+";"4.132.720";"4.133.704";985;2.43;"4.132.720";"4.133.704";1;106;292;"Carbohydrate esterase family 1 protein ";"Pestalotiopsis fici";"Sporothrix schenckii";"";"";"probable acetylxylan esterase";5;"C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process";"";"CE1 ";"S09C";"Y";"";"";"";"g1074"
"36";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1104";"I";"-";"4.270.496";"4.273.675";3.18;361;"4.270.496";"4.273.675";1;54;1.041;"Glycosyl hydrolase family 31";"Colletotrichum fioriniae";"Ophiostoma piceae";"";"";"glycoside hydrolase family 31 protein";1;"F:hydrolase activity";"-";"GH31 ";"";"Y";"";"";"";"g1104"
"37";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1120";"I";"-";"4.337.063";"4.341.178";4.116;424;"4.337.063";"4.341.178";0;0;1.371;"UDP-transferase";"Grosmannia clavigera";"Ophiostoma piceae";"K05841";"E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]";"glycosyltransferase family 28 domain-containing protein";2;"P:carbohydrate metabolic process; F:transferase activity, transferring glycosyl groups";"-";"GT1 ";"";"N";"";"";"";"g1120"
"38";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1145";"I";"-";"4.412.888";"4.414.840";1.953;1.246;"4.412.888";"4.414.840";4;231;573;"Mannan polymerase II complex ANP1 subunit";"Grosmannia clavigera";"Ophiostoma piceae";"K05533";"ANP1; mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]";"glycosyltransferase family 62 protein";3;"C:alpha-1,6-mannosyltransferase complex; F:alpha-1,6-mannosyltransferase activity; P:protein N-linked glycosylation";"-";"GT62 ";"";"N";"";"";"";"g1145"
"39";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1160";"I";"+";"4.450.281";"4.452.055";1.775;549;"4.450.281";"4.452.055";2;149;541;"Meiotically up-regulated gene 157 protein";"Colletotrichum gloeosporioides";"Ophiostoma piceae";"K09704";"K09704; hypothetical protein";"six-hairpin glycosidase-like protein";5;"C:integral to membrane; F:hydrolase activity, acting on glycosyl bonds; C:endoplasmic reticulum; P:metabolic process; P:pathogenesis";"-";"GH125 ";"";"Y";"";"";"";"g1160"
"40";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1179";"I";"+";"4.504.083";"4.508.201";4.119;1.257;"4.504.083";"4.508.201";0;0;1.372;"Chitin synthase 2 ";"Grosmannia clavigera";"Ophiostoma piceae";"K00698";"CHS1; chitin synthase [EC:2.4.1.16]";"glycosyltransferase family 2 protein";2;"P:chitin biosynthetic process; F:chitin synthase activity";"EC:2.4.1.16";"GT2 ";"";"N";"";"";"";"g1179"
"41";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1207";"I";"+";"4.602.719";"4.604.381";1.663;3.348;"4.602.719";"4.604.381";3;232;476;"Mannan endo-1,6-alpha-mannosidase DCW1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 76 protein";2;"F:mannan endo-1,6-alpha-mannosidase activity; P:carbohydrate catabolic process";"EC:3.2.1.101";"GH76 ";"";"Y";"";"";"";"g1207"
"42";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1300";"I";"-";"4.961.819";"4.962.933";1.115;1.265;"4.961.819";"4.962.933";1;56;352;"Glycoside hydrolase family 43 protein";"Myceliophthora thermophila";"Ophiostoma piceae";"";"";"glycoside hydrolase family 43 protein";1;"F:hydrolase activity";"-";"GH43 ";"";"Y";"";"";"";"g1300"
"43";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1380";"I";"-";"5.219.310";"5.221.667";2.358;648;"5.219.310";"5.221.667";0;0;785;"Glycoside hydrolase family 55 protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 55 protein";1;"F:hydrolase activity";"-";"GH55 ";"";"Y";"";"";"";"g1380"
"44";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1433";"I";"+";"5.468.944";"5.471.635";2.692;1.086;"5.468.944";"5.471.635";1;64;875;"Beta-glucosidase A (Cellobiase A/Gentiobiase A)";"Grosmannia clavigera";"Ophiostoma piceae";"K05349";"bglX; beta-glucosidase [EC:3.2.1.21]";"beta-glucosidase 1 precursor";2;"P:carbohydrate metabolic process; F:beta-glucosidase activity";"EC:3.2.1.21";"GH3 ";"";"Y";"";"";"";"g1433"
"45";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1475";"I";"-";"5.605.393";"5.607.032";1.64;387;"5.605.393";"5.607.032";3;170;489;"glycoside hydrolase family 28 protein ";"Thielavia terrestris";"Ophiostoma piceae";"";"";"endo-rhamnogalacturonase f";4;"P:carbohydrate metabolic process; C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization";"EC:3.2.1.15";"GH28 ";"";"Y";"";"";"";"g1475"
"46";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1498";"I";"+";"5.676.187";"5.676.731";545;489;"5.676.187";"5.676.731";1;200;114;"Putative uncharacterized protein";"Pestalotiopsis fici";"Sporothrix schenckii";"";"";"glycoside hydrolase family 61 protein";4;"F:molecular_function; P:biological_process; C:cellular_component; F:hydrolase activity";"";"GH61 ";"";"N";"";"";"";"g1498"
"47";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1552";"I";"-";"5.879.728";"5.881.929";2.202;364;"5.879.728";"5.881.929";0;0;733;"Beta-glucosidase L (Cellobiase L/Gentiobiase L)";"Pestalotiopsis fici";"Ophiostoma piceae";"K05349";"bglX; beta-glucosidase [EC:3.2.1.21]";"glycoside hydrolase family 3 protein";2;"P:carbohydrate metabolic process; F:beta-glucosidase activity";"EC:3.2.1.21";"GH3 ";"";"Y";"";"";"";"g1552"
"48";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1555";"I";"+";"5.890.394";"5.891.382";989;2.936;"5.890.394";"5.891.382";2;125;287;"Putative uncharacterized protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"hypothetical protein CMQ_2256";0;"-";"";"GH131 ";"";"Y";"";"";"";"g1555"
"49";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1567";"I";"+";"5.930.070";"5.931.209";1.14;3.143;"5.930.070";"5.931.209";0;0;379;"Endopolygalacturonase AN8327 (Pectinase AN8327)";"Penicillium oxalicum";"Ophiostoma ulmi";"K01184";"E3.2.1.15; polygalacturonase [EC:3.2.1.15]";"pglr_emeni ame: full=endopolygalacturonase an8327 ame: full=pectinase an8327 ame: full=polygalacturonase an8327 flags: precursor";4;"C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization; P:pectin catabolic process";"EC:3.2.1.15";"GH28 ";"";"Y";"";"";"";"g1567"
"50";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1579";"I";"-";"5.963.978";"5.965.783";1.806;2.158;"5.963.978";"5.965.783";0;0;601;"Glycosyl transferase group 1";"Grosmannia clavigera";"Ophiostoma piceae";"K12583";"mgtA; phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]";"glycosyltransferase family 4";2;"P:biosynthetic process; F:transferase activity";"";"GT4 ";"";"N";"";"";"";"g1579"
"51";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1657";"I";"+";"6.267.046";"6.268.799";1.754;5.545;"6.267.046";"6.268.799";1;125;542;"Glycoside hydrolase family 72";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 72 protein";3;"F:hydrolase activity; P:carbohydrate metabolic process; F:cation binding";"-";"GH72-CBM43 ";"";"Y";"";"";"";"g1657"
"52";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1678";"I";"+";"6.343.862";"6.346.361";2.5;8.644;"6.343.862";"6.346.361";1;70;809;"Beta-glucosidase M (Cellobiase M/Gentiobiase M)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 3 protein";2;"F:hydrolase activity, acting on glycosyl bonds; P:metabolic process";"-";"GH3 ";"";"Y";"";"";"";"g1678"
